"key","parent","text"
118,9,"购买企业"
119,9,"车险"
120,9,"汽车理财"
121,9,"在家工作"
122,9,"房屋抵押借款"
123,9,"抵押借款"
124,9,"抵押电子表格"
125,9,"抵押贷款"
126,9,"抵押贷款"
127,9,"抵押借款率"
128,9,"抵押借款率"
129,9,"网络银行"
130,9,"个人理财"
131,9,"小型企业"
132,9,"小型企业促销"
133,10,"经济分析"
134,10,"经济发展"
135,10,"经济成长"
136,10,"经济策略"
137,10,"经济体系"
138,10,"经济学"
139,10,"网络社群"
140,11,"创业"
141,11,"商业企业家"
142,11,"创业中心"
143,11,"企业家工作"
144,11,"创业杂志"
145,11,"企业家户联网"
146,11,"创业机会"
147,11,"创业机关"
148,12,"资产管理"
149,12,"理财顾问"
150,12,"财务分析"
151,12,"股市"
152,13,"美国房地产"
153,13,"找土地"
154,13,"房地产中介"
155,13,"房屋中介"
156,13,"土地出售"
157,13,"投资房地产"
158,13,"地产经纪执照"
159,13,"房地产表列"
160,13,"房地产市场"
161,13,"房地产"
162,13,"土地出粗"
163,13,"土地出售"
164,13,"找土地"
165,14,"购买股票"
166,14,"如何投资"
167,14,"学习股票投资"
168,14,"股票中介"
169,14,"股市"
170,14,"股价"
171,14,"票卷回收报酬率"
172,16,"建筑"
173,16,"建筑设计"
174,16,"设计工作"
175,16,"设计工作室"
176,16,"房屋设计"
177,16,"设计中"
178,16,"屋内设计"
179,16,"厨房设计"
180,16,"景观设计"
181,17,"艺术品出售"
182,17,"艺廊"
183,17,"在线艺术"
184,18,"汽车配件"
185,18,"汽车拍卖场"
186,18,"汽车经销商"
187,18,"车险"
188,18,"汽车贷款"
189,18,"汽车零件"
190,18,"租车"
191,18,"修车"
192,18,"卖车"
193,18,"车展"
194,18,"汽车出售"
195,18,"骨董车"
196,18,"混合动力车"
197,18,"新车"
198,18,"旧车"
199,18,"租车"
200,18,"二手车"
201,19,"婴/幼儿装"
202,19,"童装"
203,19,"童装店"
204,19,"名牌服饰"
205,19,"服装设计"
206,19,"服装设计师"
207,19,"服装秀"
208,19,"少女装"
209,19,"孕妇装"
210,19,"男装"
211,19,"女装"
212,20,"婴幼儿食品"
213,20,"蛋糕食谱"
214,20,"鸡肉食谱"
215,20,"中餐"
216,20,"减肥餐"
217,20,"快餐"
218,20,"食物"
219,20,"健康食品"
220,20,"印度餐"
221,20,"意大利餐"
222,20,"垃圾食品"
223,20,"墨西哥餐"
224,20,"有机食品"
225,20,"食谱"
226,20,"酒类"
227,21,"口腔卫生"
228,21,"减肥药"
229,21,"练习"
230,21,"健身器材"
231,21,"健身"
232,21,"健康"
233,21,"保健"
234,21,"健康俱乐部"
235,21,"健康食品"
236,21,"健保"
237,21,"健康杂志"
238,21,"运动"
239,21,"健身运动"
240,22,"古书"
241,22,"有声书"
242,22,"幼儿丛书"
243,22,"畅销书"
244,22,"k书俱乐部"
245,22,"书评"
246,22,"书类搜寻"
247,22,"书店"
248,22,"儿童书类"
249,22,"漫画书"
250,22,"小说"
251,22,"文学"
252,22,"诗"
253,22,"教科书"
254,22,"课本"
255,22,"二手书"
256,23,"冒险旅游"
257,23,"航空旅游"
258,23,"省钱旅行"
259,23,"便宜机票"
260,23,"廉价旅馆"
261,23,"廉价旅游"
262,23,"长期住宿旅馆"
263,23,"家庭旅行"
264,23,"飞机班次"
265,23,"旅馆"
266,23,"旅行"
267,25,"大专棒球"
268,25,"高中棒球"
269,25,"少棒"
270,25,"青棒"
271,26,"大专篮球"
272,26,"高中篮球"
273,26,"美国职业篮球"
274,27,"摩托车装备"
275,27,"摩托车赛"
276,27,"摩托车运动"
277,27,"摩托车店"
278,28,"美式足球装"
279,28,"美式足球场"
280,28,"美式足球赛"
281,29,"廉价高尔夫"
282,29,"免费高尔夫"
283,29,"高尔夫球袋"
284,29,"高尔夫球"
285,29,"高尔夫球车"
286,29,"高尔夫球杆"
287,29,"高尔夫球场"
288,29,"高尔夫球装备"
289,29,"高尔夫假期"
290,29,"职业高尔夫"
291,30,"曲棍球营"
292,30,"曲棍球装备"
293,30,"曲棍球赛"
294,30,"曲棍球配备"
295,30,"曲棍球员"
296,30,"冰上曲棍球"
297,31,"美式足球"
298,31,"巴西足球"
299,31,"足球装备"
300,31,"足球赛"
301,31,"足球鞋"
302,32,"网球"
303,32,"网球装"
304,32,"网球装备"
305,32,"网球拍"
306,32,"网球鞋"
307,34,"防毒软件"
308,34,"组计算机"
309,34,"买计算机"
310,34,"廉价/便宜计算机"
311,34,"计算机配件"
312,34,"计算机外壳"
313,34,"计算机游戏"
314,34,"图形"
315,34,"硬件"
316,34,"键盘"
317,34,"计算机内存"
318,34,"显像器"
319,34,"计算机软件"
320,34,"计算机专卖店"
321,34,"桌上型计算机"
322,34,"笔记型计算机"
323,34,"笔记型计算机"
324,34,"口袋型计算机"
325,34,"平板计算机"
326,36,"桌面小配件"
327,36,"电子小玩意儿"
328,36,"电子玩具"
329,36,"高科技小玩意儿"
330,36,"厨房小工具"
331,36,"最新小玩意儿"
332,36,"新的小玩意儿"
333,36,"监视用小玩意儿"
334,36,"科技玩意儿"
335,37,"宽频网络"
336,37,"有线电视网络"
337,37,"廉价网络"
338,37,"高速网络"
339,37,"免费网络"
340,37,"网络广告"
341,37,"网络电视"
342,37,"手机电视"
343,37,"卫星电视"
344,37,"无线上网"
345,38,"科学丛书"
346,38,"科技中心"
347,38,"科学实验"
348,38,"科学展"
349,38,"科幻小说"
350,38,"科学博物馆"
351,38,"科学新闻"
